Timestamp,RPM,Speed_kmh,Coolant_temp_C,Intake_temp,MAF_gps,Throttle_pos_pct,fuel_level_pct,Battery_voltage_Amp,Engine_load_pct,Short_tern_trim_pct,long_term_fuel_trim_pct,02_sensor_voltage_V,Catalyst_temp_C,Ambient_air_temp_C,Barometric_pressure_Kpa,Timing_advance_deg,Fuel_pressure_Kpa,Engine_oil_temp_C,Gear_position,Acceleration_mps2,Brake_pedal_pct,Steering_angle_deg,GPS_LAT,GPS_LON
10/02/2026 17:43,5660,14.01,79,46.2,59.77,98.1,80.5,14.5,27.6,-2.9,4.1,0.876,607.4,14.2,98.1,21.8,261.8,99.8,3,-0.78,82.4,181,51.452519,-2.58183
10/02/2026 17:43,1912,124.69,91.3,26.6,119.95,27.4,57.2,14.06,81.9,0.3,3.5,0.539,795.8,11.2,99.3,-4.2,445.7,77.3,1,0.87,11.6,262.9,51.45469,-2.588587
10/02/2026 17:43,2173,53.54,97.4,27.9,10.06,30.9,64.9,13.74,77.8,-7.5,6.2,0.602,666.2,16.9,98.9,16.2,341.1,76.6,R,-1.56,55.5,-169.8,51.445788,-2.588531
10/02/2026 17:43,5332,36.05,89.8,32.4,82.42,7.2,42.9,12.79,48.5,-7.4,9.3,0.1,475.4,29,103.7,13,397.8,70.6,3,1.38,98.5,-6.4,51.453678,-2.590627
10/02/2026 17:43,3113,57.72,95.7,28.4,24.8,87.9,66.4,14.37,20.3,-3.2,3.5,0.484,356.6,19.4,99.5,32.7,394.6,96,1,-0.18,10.1,43.8,51.452823,-2.585722
10/02/2026 17:43,3244,128.55,81.6,20.5,60.67,99.6,45.6,13.19,58.9,-5.5,-3.9,0.452,659.6,12.2,98.3,22.8,287.5,101,N,1.18,55.5,181.4,51.456849,-2.588947
10/02/2026 17:43,2441,56.55,71.1,20.6,76.66,0.7,71.7,13.25,29.9,6.9,-1.1,0.733,794.7,5.5,102.8,11.2,404.2,61.1,1,2.82,42.4,-56.4,51.462474,-2.594206
10/02/2026 17:43,4260,1.2,74.3,48.5,57.81,24.6,86.3,14.23,52,3.2,0.2,0.556,461.7,13.1,99.8,26.7,252.5,104.9,P,-2.15,84.6,-199.1,51.454296,-2.597694
10/02/2026 17:43,2609,63.51,90.8,12.2,91.12,81.4,97.1,14.25,64.6,-2,10.5,0.15,732.6,7.8,104.9,10.8,340.1,107.2,3,1.67,35.4,-202.3,51.462149,-2.578588
10/02/2026 17:43,3316,17.95,97.9,42.8,15.94,85.1,74.5,13.93,46.1,-3.8,-7.3,0.771,679.3,29.2,100.3,36,373.6,99.4,R,2.02,91.5,16.5,51.456256,-2.585733
10/02/2026 17:43,3541,128.32,70.3,35.4,75.17,98.4,32.1,14.76,38.9,3.1,4.1,0.775,639.4,11.1,103.7,13.2,413.3,73.1,3,0.56,6.5,-183.9,51.44557,-2.587032
10/02/2026 17:43,1169,13.75,106.8,18.2,11.26,39.2,65.7,13.27,64.9,8,3,0.751,559.7,17.7,97.8,-4.9,419.1,115,P,1.72,87.6,-104.1,51.447201,-2.584203
10/02/2026 17:43,4157,91.91,106.4,28.3,117.08,51.7,6.7,14,31.7,3.4,4.6,0.552,775,19.9,95.8,17.8,387,84.7,2,2.07,39.9,-78.7,51.445346,-2.578122
10/02/2026 17:43,1028,84.92,99.8,11.3,84.61,18.9,17.7,14.34,35.2,2.8,10.1,0.543,426.1,10.3,102.4,17.8,251.5,97.7,P,0.71,42.3,350.8,51.459967,-2.581043
10/02/2026 17:43,5627,45.71,77.5,38.1,18.93,58,76.9,12.49,29.6,-9.5,9.4,0.18,851.7,22.6,96.8,-3.1,356.1,62,3,2.21,85.6,272.2,51.459583,-2.579052
10/02/2026 17:43,4326,32.03,78.9,25.2,62.22,49.3,61.7,12.28,58.8,8.4,7.5,0.854,462.4,12.8,95.5,20.5,261.4,112.6,P,-0.78,85.8,146.3,51.457763,-2.593142
10/02/2026 17:43,3427,52.5,86.3,19.2,96.81,68,16.5,13.06,21.3,2.5,3.4,0.501,564.8,29,98.9,-2.5,319.6,80.1,5,0.5,59.9,-229.2,51.457817,-2.593045
10/02/2026 17:43,5483,78.28,108.9,23,64.38,43.1,18.4,12.75,38.9,1.9,3.2,0.167,895.4,29.6,96.7,7.2,436,65.3,3,-1.9,44.3,-246.6,51.458537,-2.591985
10/02/2026 17:43,2841,22.3,96,44.9,54.78,22,87.7,12.99,48.2,-4,6.6,0.234,685.9,25.1,101.9,28.9,433.9,112.8,D,2.47,22.1,337,51.448038,-2.590321
10/02/2026 17:43,5547,156.26,88.3,30.9,11.27,42.1,58.3,13.31,54.4,1.7,-6.6,0.6,579.7,7.7,97.1,26.2,438.1,94.4,6,1.88,31.8,-60,51.445895,-2.586199
10/02/2026 17:43,5444,15.46,98.1,40.7,39.7,89.1,69.6,13.44,53.1,7,-7.3,0.708,699.8,8.9,96.5,15.9,405.7,91,P,-0.39,69.9,-13.6,51.447038,-2.583432
10/02/2026 17:43,2452,115.88,95.4,36.3,49.42,1.4,15.9,12.32,33.2,-5.3,8.1,0.29,707.2,10.5,99.5,10.3,373.3,103.8,P,2.42,66.6,173.8,51.451464,-2.592813
10/02/2026 17:43,1357,38.15,79.4,48.4,84.8,78.3,11.9,12.93,76.7,4.6,11.3,0.408,466.6,24.2,96.2,-1.5,395.3,64.6,D,-2.81,23,-282.9,51.446819,-2.596485
10/02/2026 17:43,3814,9.74,99.9,29.9,80.33,56,24.4,12.61,88.4,8.6,7.5,0.379,472.2,22.9,101.9,26.6,284.1,94.7,2,2.14,47.8,-30.1,51.447251,-2.585102
10/02/2026 17:43,3822,110.04,101.4,25.9,9.55,10.7,20.5,14.28,62.9,6,-7.7,0.288,439.5,17.1,96.3,32.6,347.8,80.6,5,0.06,46.7,-361.1,51.446167,-2.588495
10/02/2026 17:43,3234,68.59,89,11.7,17.29,2.7,32.6,13.58,84.5,-4.5,11,0.639,853.1,19.6,103.2,17.6,360.8,89.2,P,-1.42,32.3,-204.1,51.460061,-2.593892
10/02/2026 17:43,5617,45.34,95.9,31,76.58,44.9,39.6,14.45,52.7,2.9,-3.8,0.196,882.3,20.3,102.1,18.1,423.1,104.4,R,-0.05,91.5,-56.6,51.461194,-2.585133
10/02/2026 17:43,970,157.65,84.4,21.9,11.69,40.1,6.3,13.49,75.1,3.6,-2.6,0.51,419,18.9,96.3,6.5,447.3,117.7,3,-0.58,40.5,406.9,51.463574,-2.58026
10/02/2026 17:43,4122,125.69,100.7,46.6,98.24,83.6,39.2,12.09,21.5,2.2,-3.8,0.241,709.7,20.4,98.1,21,391.3,104.3,5,2.35,45,306,51.464437,-2.579848
10/02/2026 17:43,2928,46.76,78.7,45.5,24.91,23.5,62.2,12.34,70,4,4,0.739,829.4,5.6,97.3,-0.3,449,70.7,2,0.58,68.7,376.7,51.449609,-2.590839
10/02/2026 17:43,4016,106.83,94.6,32.2,13.63,52.4,68.2,12.89,60.5,5.6,-0.5,0.64,315.7,10.3,104.2,31.4,408,75.7,4,0.96,33.4,-221.5,51.448379,-2.584985
10/02/2026 17:43,4759,1.88,81.1,33.5,83.07,43.5,91.2,14.39,69.2,4.5,1.5,0.102,624.2,14,100.7,16.5,260.5,105.4,6,2.6,19.5,-412.7,51.460378,-2.592603
10/02/2026 17:43,820,43.69,70.3,23.7,52.39,40.4,33.2,12.49,53.1,2.4,9.2,0.344,697.3,29.5,96.4,4.2,348,89.9,P,1.1,69.7,-21.5,51.455404,-2.578982
10/02/2026 17:43,1814,104.42,104.8,19.8,94.69,5.9,12.3,12.23,34.4,4.9,-0.5,0.595,687.4,23,98.4,9,397.6,104,P,-2.28,30.2,436.1,51.460361,-2.595337
10/02/2026 17:43,3391,25.25,89.2,17.6,54.58,87.3,66.2,14.07,41.8,-9,7.2,0.317,751.8,16,99.1,-2.7,335.5,67.4,6,-1.88,25.9,303.7,51.463506,-2.579794
10/02/2026 17:43,2619,88.26,99.5,38.3,104.91,11.3,81.8,12.23,32,-0.5,2.7,0.838,697.8,10.8,100.2,2.4,325.8,101.5,D,1.92,57.1,340.5,51.456601,-2.588079
10/02/2026 17:43,2442,73.31,108,14.3,3.21,77.6,94.5,12.45,78.4,7.3,8.8,0.277,585.5,14,97.5,14.7,297.3,72,2,-2.51,65,14.3,51.449818,-2.586051
10/02/2026 17:43,2048,141.96,83.7,30.9,33.74,0.3,95.5,13.95,71.1,5.5,-3.2,0.511,403,25.6,98.8,37.5,272.6,80.6,N,-2,74.2,308.5,51.458341,-2.593557
10/02/2026 17:43,922,5.17,77,41.9,86.88,21.8,52.7,12.68,26.5,-4.3,-1.1,0.474,485.8,17.9,102.5,24.3,317.4,63.6,6,2.71,36,-387.5,51.451293,-2.589348
10/02/2026 17:43,2825,139.16,75.1,29.6,30.89,67.2,20.6,14.29,27.8,9.3,8.4,0.304,733.4,29,100.3,26.4,355.8,112.1,P,-2.3,35.7,220.4,51.463419,-2.583446
10/02/2026 17:43,2481,12.92,78.4,29.3,20.96,95.4,14.6,14.23,21.3,6.9,6.3,0.6,546.6,23.4,103.8,6,360.8,107.5,6,-0.61,42.3,-170.8,51.45055,-2.591684
10/02/2026 17:43,3620,24.62,96.2,49.6,46.03,34.1,51,13.9,70.4,-0.9,6,0.301,720.6,28.2,95.5,10.7,414.7,88.3,4,-2.53,38.8,-213,51.462272,-2.594051
10/02/2026 17:44,2558,45.28,106.3,47.2,47.65,2.4,78.4,14.09,81.6,5.8,10.6,0.808,503.1,18.2,103.8,35.5,280.4,98.8,4,0.33,17.5,224.4,51.460267,-2.579925
10/02/2026 17:44,2107,16.04,103.7,22.9,30.91,56.8,86.4,12.24,30.8,1.2,3.4,0.695,345.1,25.1,100.7,-4,346.3,65.4,5,0.82,7,-63.6,51.461153,-2.596321
10/02/2026 17:44,5792,13.24,87.7,31.2,73.26,48.4,8.6,14.09,65.8,6.2,10.3,0.305,355.3,29.1,102.7,17.1,438.7,69.2,2,0.61,89.4,0.4,51.457896,-2.59407
10/02/2026 17:44,5552,20.37,98.5,25.3,70.84,2.3,7.8,13.47,52.7,3,-1,0.125,427.6,19.1,99,-4.5,263,101.2,6,1.33,47.5,214.9,51.452616,-2.581924
10/02/2026 17:44,6486,35.3,89.1,27.2,106.26,24.5,59.3,14.37,84.1,-6.3,10.6,0.735,382.8,29.6,98.3,39.8,447.1,91.3,R,-2.88,70.9,270.6,51.454801,-2.584153
